מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
חיפוש; תַפְתִיש تفتيش
מקלָט; מַלְגַ׳א ملجا 
עָדִיף; אַפְצַ׳ל أَفْضَل
נמוך, ירוד; מֻנְחַ׳פֵץ׳ منخفض
אח (סיעוד); מֻמַרִّץ׳ ممرّض
מַפָּל (מפל מים); שַלַّאל شلّال
עירום; עַרְיַאן عريان
שיעמום; מַלַל ملل
אלטרנטיבה, חלופה, תחליף; בַּדִיל بديل
ספק; שַכּّ شكّ
שלילי; סַלְבִּי سَلْبِي
חיובי; אִיגַ׳אבִּי إِيجَابِي
חילוקי דעות; אִחְ׳תִלַאף اختلاف
מיסים; צַ׳רַאאֵבּ, צַ׳רָאיֶבּ ضرائب, ضرايب
יתרונות וחסרונות; אִיגַ׳אבִּיַّאת וּסַלְבִּיַّאת إيجابيّات وسلبيّات
שיפוץ, שיפוצים; תַגְ׳דִיד  تجديد
כִּיוּוּן; אִתִّגַ׳אה إِتِّجَاه
ביטוי; תַעְבִּיר تعبير
הפשיט; שַלַّח شلّح
רגשן, רגשי, רגיש; עַאטִפִי عاطفي
מקובל, מוסכם; מַקְבּוּל مقبول
אֲוִוירוֹת; אַגְ׳וַאא أَجْوَاء
פגמים; עְיוּבּ عيوب
צנוע; מֻחְתַשֵם مُحْتَشِم
עינוי \ עינויים טרם נבדק; תשדד تشدُّد
קללה; מְסַבֵּّה مسبّة
כנופייה; עִצַאבֵּה عِصَابَة
הכנה; תַחְצִ׳יר تحضير
הגיע (בשימוש עם משהו מופשט - מסקנה, תוצאה וכד׳); תְוַצַّל تْوَصَّل
תור (המתנה בתור בחנות); טַאבּוּר طابُور
תכונה; צִפֵה صفة
נולד; אִנְוַלַד إنولد
החלטה; קַרַאר قرار
יועץ; מֻסְתַשַאר مستشار
ערבית ספרותית; אֵלְפֻצְחַא  الفصحى
ערבית מדוברת; אֵלְמַחְכִּיֵّה المحكيّة
מיואש; יַאְסַאן يأسان
קַר; בַּארֵד بارد
בְּרִיאוּת; צַחַّה صَحَّة
הֶיכֵּרוּת; תַעַארֻף تعارف
אי-הבנה; סוא תפאהם سوء تفاهم
שותף, בן זוג; שְרִיכּ شريك 
דו״ח; תַקְרִיר تقرير
קנייה (פעולה); שִרַאא شراء
משל; מַתַ׳ל مثل
גִידֵל, חִינֵך; רַבַּّא ربّى
תחביב; הִוַאיֵה هواية
שיתוף פעולה; תַעַאוֻן تعاون
הֶגְיוֹנִי; מַעְקוּל مَعْقُول
קניות; מֻשְתַרַיַאת مشتريات
שיתף; שַארַכּ شارك 
פנסיונר; מֻתַקַאעֵד متقاعد
מָזַג (שפך נוזל לכוס); צַבּّ صَبّ
קוּמְקוּם; עַ׳לַّאיֵה غلّاية
שִיר; אֻעְ׳נִיֵה أُغْنِيِة
שירים; אַעַ׳אנִי أَغَانِي
שיתוף; מֻשַארַכֵּה مشاركة
רָתַח, הִרְתִיחַ; עַ׳לַא غلى
יִיקֵּר, מכר ביוקר; עַ׳לַّא غلّى
עַצְמָאוּת; אִסְתִקְלַאל إِسْتِقْلَال
מדעים; עֻלוּם علوم
מועיל, שימושי; מֻפִיד مُفِيد
עיתונאי; צַחַפִי صحفي
הִתְיָיאֵשׁ; יִאֵס يأس
קריאה; קְרַאיֵה قراية
בן טובים; אִבְּן חַלַאל إِبْن حَلَال
שׁוֹבָב, מְנֻוָּול; אִבְּן חַרַאם إِبْن حَرَام
הִתְיָיעֵץ; שַאוַר شاور
נִגְלָה, הוֹפִיעַ; בַּאן بان
בדיחה; נֻכְּתֵה نكتة
מגירה; גַ׳ארוּר جارور
וטרינר; בֵּיטַרִי بِيطَرِي
עֵץ (צמח בעל גזע, ענפים ושורשים); שַגַ׳רַה شَجَرَة
ארץ; בְּלַאד  بلاد
חָתָן (איש בטקס נישואיו); עַרִיס عَرِيس
כַּלָּה (אישה בטקס נישואיה); עַרוּס عَرُوس
הבראה, החלמה; שִפַאא شِفَاء
קָשַׁר; רַבַּט ربط
צָבָא; גֵ׳יש جِيش
מִדְבָּר; צַחְרַא صحرا
אֲגַם; בֻּחֵירַה بُحِيرَة
עָלֶה; וַרַקַה ورقة 
נחל; וַאדִי وادي 
פקק תנועה; אַזְמֵת סֵיר أزمة سير
יוֹם רִאשׁוֹן; יוֹם אֵלְאַחַד يُوم الأَحَد
מֶמְשָׁלָה; חֻכּוּמֵה حُكُومِة
שיניים; אַסְנַאן اسنان
מובן, משמעות, כוונה; מַעְנַא معنى
הסביר; שַרַח شرح
מַרְגִיש; חַאסֵס حاسس
פַּעֲמוֹן; גַ׳רַס جرس
נֵר; שַמְעַה شَمْعَة 
אחיות; חַ׳וַאת خوات
אחים; אִחְ׳וֵה اخوة
נישואים, נישואין; זַוַאג׳ زواج 
הִמְלִיץ, יִיעֵץ (ל...); נַצַח نصح
שֵׁן; סִןّ سنّ
אולם; קַאעַה قاعة
מטרות; אַהְדַאף اهداف
יוֹם חֲמִישִׁי; יוֹם אֵלְחַ׳מִיס يوم الخميس
מָסַךְ; שַאשֵה شَاشِة
הרוויח; כִּסֵבּ كِسب
סָלַח, מָחַל; סַאמַח سَامَح
בדיחות; נֻכַּת نكت
תיקן (טעות); צַחַّח صحّح
פְּרִי; פַאכִּהַה فاكهة
זכויות; חֻקוּק حُقُوق
הוסיף; זַאד زاد
הוֹדִיעַ; חַ׳בַּّר خبّر
הִפְסִיד; חִ׳סֵר خِسِر
האמין (ל..); צַדַّק صدّق
האמין (ב...); אַאמַן آمن
כביסה; עַ׳סִיל غَسِيل
מנומנם, ישנוני, רוצה לישון; נַעְסַאן نَعْسَان
פתיחה; פַתְח فتح
יוֹם שֵׁנִי; יוֹם אֵ(ל)תִّ׳נֵין يوم الثّنين
מָחָא כַּפַּיִים; זַקַّף زقّف
משרד (של שר); וִזַארַה وزارة
שוֹרֶש (של צמח); שִרְש شِرْش
מהנה, מעניין; מֻמְתֵע ممتع
תלמידה; טַאלְבֵּה طَالْبِة
חופשי; חֹרّ حرّ
טֶקֶס (דתי, פולחני); טַקְס طقس
גיל; גִ׳יל جيل
הודיע; בַּלַّע׳ بلّغ
קשת בענן; קַוְס קֻזַח  قوس قزح
חרק (בעל חיים); חַשַרַה حَشَرَة
אַלִּים; עַנִיף عَنِيف
משעמם; מֻמִלّ مملّ
רוּחַ (תנועת האוויר); רִיח رِيح
שיער; שַעְר شعر
נוכח, מוכן; חַאצֵ׳ר حَاضِر
נמצא; מַוְג׳וּד  موجود
רָקוּב, מְעוּפַּשׁ; מְעַפַّן مْعَفَّن 
שמיכה; לְחַאף لحاف
כרית; מְחַ׳דֵّה مخدّة
שַֹם לֵב; אִנְתַבַּהּ إنتبه
יבש; נַאשֵף ناشف
שְׁזִיף; ח׳וֹח׳ خوخ
אבק; עַ׳בַּרַה غبرة
גג, תקרה; סַקְף سَقْف
אותיות; חֻרוּף حروف
נרגע; רַאק راق
מצב רוח; מַזַאג׳ مزاج
רטוב; מַבְּלוּל مَبْلُول
פתאום; פַגְ׳אַה فجأة
מפחד, פוחד; חַ׳איֵף خايف
תיכנות; בַּרְמַגֵ׳ה برمجة
שֶׁקֶר; כִּדְ׳בֵּה كِذْبِة 
תירגום; תַרְגַ׳מֵה ترجمة
הִתְייַבֵּש; נִשֵף نِشِف
הִתְרַגֵּל; תְעַוַّד تْعَوَّد
כְּתָב; חַ׳טّ خطّ 
חריג, יוצא דופן; שַאדّ׳ شاذّ
קִילֵּל; סַבּّ سَبّ
מאמר; מַקַאל مقال
אתגר; תַחַדִّי تحدّي
הבדלים; פֻרוּק فروق
גלש, התגלש; תְזַחְלַק تزحلق
נִיחֵש, פתר חידה; חִזֵר حزر
הוֹסִיף; צַ׳אף ضَاف 
קָבוּעַ; תַ׳אבֵּת ثَابِت
מַזָּל (גורל, נסיבות חיים); חַט׳ّ حَظّ
דאגה; הַםّ همّ
ערמומי; חַ׳בִּית׳ خبيث
הִזְכִּיר (ל...); דַ׳כַּّר ذكّر
נִמְאַס (לו); זִהֵק زهق
סַרְגֵּל; מַסְטַרַה مسطرة
הִכְנִיס; דַחַّ׳ל دخّل
רגיל (מי שהתרגל); מִתְעַוֵّד متعوّد
רֶמֶז; תַלְמִיח تَلْمِيح
התנהגות; תַצַרֹّף تصرّف
מַחְמָאָה; מֻגַ׳אמַלֶה مُجاملة
סבלני; צַבּוּר صبور
בקרוב; קַרִיבַּן قريباً
משכנע; מֻקְנֵע مقنع
אַף (איבר נשימה); מֻנְחַ׳אר مُنْخَار 
בְּדִיקָה; פַחְץ فحص
הורים (שניים); וַאלְדֵין والدين
פתוח; מַפְתוּח مفتوح
חֲתוּנָּה (טקס נישואין); עֻרְס عُرْس
עמדה, מוצב; מַוְקֵף موقف
ענה, השיב; גַ׳אוַבּ جاوب
תיכון (בית ספר); תַ׳אנַוִיֵّה ثانويّة
נרפא, הבריא; טַאבּ طاب
פוליטי, מדיני; סִיַאסִי سياسي
שָׁתִיל; עַ׳רַס غرس
גדל, התבגר; כִּבֵּר كِبِر
גילה (תגלית חשובה); אִכְּתַשַף اكتشف
קטע; מַקְטַע مَقْطَع
לקוחות; זַבַּאיֵן زباين
התארס, ביקש את ידה; חָ׳טָבּ خطب
הִסְכִּים, קָבַע, הִסְתַדֵר (עם); אִתַّפַק إتَّفَق
על הפנים (המצב שלו לא טוב); חַאלְתוֹ רִיעַה حَالْته رِيعَة
הספיק לעשות; לַחַّק لحّق
הִתְחַנֵּךְ, גָּדַל; תְרַבַּّא تْرَبَّى 
ארגן; נָטָّ׳ם نظّم
שינוי, השתנות; תַעַ׳יّר تغيّر
פגישה; מַוְעֵד مَوْعِد
מחוז; מֻחַאפַטַ׳ה محافظة 
זִיכָּרוֹן (היכולת לזכור); דַ׳אכְּרַה ذَاكْرَة
היה חשוב ל, עניין, הדאיג; הַםّ همّ
חוץ לארץ, חו׳׳ל; בַּרֵّית (א)לִבְּלַאד بَرِّيت الِبْلَاد
בנוסף; בִּ(א)לְאִצַ׳אפֵה بالاضافة
מתבייש; מִסְתְחִי مستحي
בכור; בִּכֵּר بكر
בְּדִיקוֹת; פֻחוּצָאת فحوصات
כלכלי; אִקְתִצַאדִי اقتصادي
בָּנָה; עַמַّר عمّر
מִכְתָּב; מַכְּתוּבּ مكتوب
חומר; מַאדֵّה مادّة 
שֶׁלֶג, קֶרַח; תַ׳לְג׳ ثَلْج
אומן; פַנַّאן فنّان 
אומנות; פַןّ فنّ
בְּחִירוֹת; אִנתִחַ׳אבַּאת إِنْتِخَابَات
עֵשֶׂב, דֶּשֶׁא; עִשְבּ عشب 
קילוגרם, קילו; כִּילוֹ كيلو
עף; טַאר طَار
גבינה; גִ׳בְּנֵה جِبْنِة
סָגַר; סַכַּّר سَكَّر
חם, פושר; חַאמִי حَامِي
בָּרִיא (לא חולה); סַלִים سَلِيم
אֵש; נַאר نَار
כְּנֵסִיָּיה; כְּנִיסֵה كْنِيسِة
מַתָּנָה; הַדִיֵّה هَدِيِّة
מיטה; תַחְ׳ת تَخْت
מת; מַאת مات
קַל (משקל); חַ׳פִיף خَفِيف
נִישֵק; בַּאס باس
דָּג (בעל חיים); סַמַכֵּה سَمَكِة
עִיר; מַדִינֵה مَدِينِة
כיסאות; כַּרַאסִי كراسي
פָּרָה; בַּקַרַה بَقَرَة
חצי; נֻץّ نصّ
שמלות; פַסַאתִין فساتين
כחול; אַזְרַק أزرق
בתים; בְּיוּת بيوت
תיק, ילקוט; שַנְטַה شنطة
חתול; קֻטّ قُطّ
ילדים; עְיַאל عْيَال
בננה, בננות; מוֹז مُوز
ארבע, 4; אַרְבַּעַה أربعة
חמש, 5; חַ׳מְסֵה خمسة
שמונה, 8; תַמַאנְיֵה تمانية
אחת עשרה, 11; אִחְדַעְש احدعش
ארבע עשרה, 14; אַרְבַּעְתַעֵש اربعتعش
חמש עשרה, 15; חַ׳מְסְתַעַש خمستعش
הָלַךְ; רַאח رَاح
אֲדָמָה, קַרְקַע; אַרְץ׳ أَرْض
עִיוֵּור; אַעְמַא أَعْمَى
חַיָּה (בעל חיים); חַיְוַאן حيوان
חיות (בעלי חיים); חַיְוַאנַאת حيوانات
עין; עֵין عين
מִשְׂחָק; לֻעְבֵּה لُعْبِة
סָפַר; עַדّ عدّ
חָתוּל; בִּסّ بِسّ
בנה; בַּנַא بنى
אבּא (קריאה); בַּאבַּא بابا
אהב; חַבּّ حبّ
תפוחים (שם קיבוצי); תֻפַّאח تُفَّاح
לימון; חַאמֵץ׳ حامض
סַכִּין; סִכִּّינֵה سِكِّينِة
שָׁבַר; כַּסַר كَسَر
בכה; בַּכַּא بكى
הָרַג; קַתַל قَتَل
מֶלֶך; מַלִכּ مَلِك
פינה; פַצַّ׳א فضّى
עוּגָה; כַּעְכֵּה كَعْكِة
רֶגֶל; אִגְ׳ר إِجْر 
כרטיס; כַּרְת كرت 
תַּרְנְגוֹל; דִיכּ دِيك
בעל (נישואין); ג׳וֹז جوز
בֵּן; אִבְּן إِبْن
גן; בֻּסְתַאן بستان
חלום; חִלֵם حلم
כּוֹס; כֻּבַּّאיֵה كُبَّايِة 
כיסא; כֻּרְסִי كُرْسِي
אלוהים; אַלְלַّה الله
כֶּלֶב; כַּלְבּ كَلْب
מִטְבָּח; מַטְבַּח׳ مطبخ
ציפור; עַצְפוּר عَصْفُور
אִי (יבשה מוקפת ים); גַ׳זִירֵה جَزِيرِة
אורות; אַנְוַאר أنوار
חברים; אַצְדִקַאא اصدقاء
בַּקְבּוּק; קַנִינֵה قَنِينِة
חֲמִשִּׁים, 50; חַ׳מְסִין خمسين
שֶׁקֶל (המטבע הישראלי); שֵיכֵּל شيكل
אַרְבָּעִים, 40; אַרְבַּעִין أربعين
שְׁמוֹנִים, 80; תַמַאנִין تمانين
מֵאָה, 100; מִיֵّה مِيِّة
שמונה עשרה, 18; תַ׳מַנְתַעֵש ثمنتعش
מיליארד; מִלְיַאר مليار
תירס; דֻ׳רַה ذرة
אצבע; אֻצְבַּע اصبع
כיוון; נַאחַה نَاحَة
כחולים;  זֻרֻק زرق
מחלה; מַרַץ׳ مرض
מחנה פליטים, מחנה, מאהל; מֻחָ׳יַّם مخيّم
נלחם; חַארַבּ حارب
קָצֶה; טַרַף طرف
דָּם; דַםّ دَمّ
רָקַד; רַקַץ رَقَص
רִצְפָּה; אַרְצ׳, אַרְצִ׳יֵّה أرض، أرضيّة
רשעים, רעים; אַשְרַאר أشرار
ינואר; שַהֵר וַאחַד شهر واحد
אוויר; הַוַא هَوَا
חור; חֻ׳זֻק خزق
ניקה; נַטַّ׳ף نظّف 
כנסיות; כַּנַאיֵס كنايس
מוֹעֲדוֹן (מקום בילוי); נַאדִי نَادِي 
עקום; אַעְוַג׳ أعوج
חלומות; אַחְלַאם أحلام
תַּפּוּחַ (יחידה אחת); תֻפַّאחַה تُفَّاحَة
רופאים; דַכַּאתְרַה دكاترة
הִתְפוֹצֵץ; אִנְפַגַ׳ר انفجر
חֲתוּלָה; בִּסֵّה بِسِّة
חתולים; קֻטַט قطط
כְּלָבִים; כְּלַאבּ كْلَاب
סוֹפֵר (מקצוע); כַּאתֵבּ كَاتِب 
מִשְׂחָקִים; אַלְעַאבּ أَلْعَاب
בֵּיצִים; בֵּיץ׳ بِيض
ערים; מֻדֹן مدن 
זָקָן (שיער פנים); לִחְיֵה لِحْيِة 
גבעות; תְלַאל تلال
נקודות; נֻקַט نقط
האכיל; טַעְמַא طعمى
תפס; כַּמַש كمش
סִירָה; קַארֵבּ قارب
רביעי; רַאבֵּע رَابِع
חמישי; חַ׳אמֵס خَامِس
חָתַךְ; קַטַע قطع
פּוֹעַל; פִעֵל فعل
פעלים; אַפְעַאל أفعال
מצלמה; כַּאמַרַה كامرة
גֶּשֶר; גִ׳סְר جِسْر
בקבוקים; קַנַאנִי قناني
הלך (ברגל); מִשִי مشي
מוח; מֻחّ׳ مخّ
ציפורים; עַצַאפִיר عَصَافِير
עיצור; סַאכֵּן ساكن 
כְּלוּב; קַפַץ قَفَص
עלים; אַוְרַאק اوراق
זָכָר (מין, מגדר); דַ׳כַּר ذَكَر
סוסים; חְצוּנֵה حصونة
בתי כנסת; כֻּנֹס كنس
בנות; בַּנַאת بنات
אֵנֶרְגְּיָה; טַאקַה طَاقَة
קלח תירס; עַרְנוּס عرنوس
משקה; מַשְרוּבּ مَشْرُوب
שָׂרַף (העלה באש); חַרַק حَرَق
ילדים קטנים, תינוקות, טף; אַטְפַאל اطفال
קדימה; קֻדַّאם قدّام
חצאים; נְצַאץ نصاص 
דצמבר; שַהֵר תְנַעַש شهر تنعش 
צבעים, גוונים; אַלְוַאן ألوان
הקשיב, האזין; אִסתַמַע إِسْتَمَع
הִיכָּה; צַ׳רַבּ ضرب
צִייֵּר; רַסַם رَسَم
תרגילים; תַמַארִין تمارين
מדינות; דֻוַל دُوَل
מחשב נייד; כַּמְבְּיוּתֵר מִתְנַקֵّל كمبيوتر متنقّل
קופסאות; עִלַבּ علب
כובעים; טַוַאקִי طواقي
בֶּרֶך; רַכְּבֵּה ركبة 
אוֹהֵד; מֻשַגֵّ׳ע مُشَجِّع
מפתחות; מַפַאתִיח مفاتيح
לִיכְלֵך; וַסַّח׳ وَسَّخ
